DATE,CHIEPUINDXM
1995-01-01,192.91191
1995-02-01,193.98785
1995-03-01,88.22704
1995-04-01,131.03471
1995-05-01,177.09686
1995-06-01,79.09624
1995-07-01,61.73269
1995-08-01,52.98312
1995-09-01,76.82008
1995-10-01,153.87129
1995-11-01,100.06150
1995-12-01,143.11668
1996-01-01,128.42946
1996-02-01,111.15819
1996-03-01,69.44067
1996-04-01,63.35744
1996-05-01,84.17336
1996-06-01,36.83881
1996-07-01,47.68481
1996-08-01,55.95354
1996-09-01,51.04103
1996-10-01,53.61976
1996-11-01,85.29987
1996-12-01,69.18519
1997-01-01,88.32371
1997-02-01,115.34868
1997-03-01,59.41059
1997-04-01,123.27135
1997-05-01,20.57983
1997-06-01,62.72387
1997-07-01,42.59028
1997-08-01,27.12609
1997-09-01,70.86267
1997-10-01,83.15766
1997-11-01,69.05575
1997-12-01,20.72247
1998-01-01,77.70583
1998-02-01,98.68480
1998-03-01,64.92120
1998-04-01,19.43978
1998-05-01,41.80422
1998-06-01,68.29856
1998-07-01,100.43605
1998-08-01,38.22540
1998-09-01,74.32970
1998-10-01,128.11868
1998-11-01,51.11583
1998-12-01,69.66882
1999-01-01,123.66965
1999-02-01,98.32405
1999-03-01,82.27813
1999-04-01,16.56603
1999-05-01,116.03939
1999-06-01,101.52251
1999-07-01,66.90920
1999-08-01,39.80082
1999-09-01,102.30253
1999-10-01,78.27620
1999-11-01,62.01696
1999-12-01,36.99379
2000-01-01,44.00444
2000-02-01,9.06671
2000-03-01,44.39914
2000-04-01,35.44141
2000-05-01,71.13580
2000-06-01,36.85698
2000-07-01,18.60740
2000-08-01,27.14087
2000-09-01,58.01005
2000-10-01,70.60663
2000-11-01,140.36797
2000-12-01,112.61160
2001-01-01,97.32545
2001-02-01,65.15025
2001-03-01,114.62846
2001-04-01,107.18360
2001-05-01,95.76117
2001-06-01,54.47955
2001-07-01,118.17540
2001-08-01,131.47923
2001-09-01,202.87772
2001-10-01,297.23535
2001-11-01,128.78351
2001-12-01,136.84720
2002-01-01,159.89444
2002-02-01,163.70116
2002-03-01,140.20535
2002-04-01,117.48548
2002-05-01,33.76059
2002-06-01,116.77750
2002-07-01,88.06828
2002-08-01,140.53098
2002-09-01,188.88867
2002-10-01,147.99454
2002-11-01,109.75909
2002-12-01,85.20969
2003-01-01,141.76566
2003-02-01,88.59653
2003-03-01,184.78601
2003-04-01,124.31020
2003-05-01,102.03591
2003-06-01,87.32002
2003-07-01,92.37225
2003-08-01,89.33423
2003-09-01,127.82127
2003-10-01,106.51363
2003-11-01,37.15931
2003-12-01,97.13573
2004-01-01,101.15840
2004-02-01,46.90383
2004-03-01,85.35300
2004-04-01,43.16583
2004-05-01,137.98720
2004-06-01,59.12109
2004-07-01,50.48696
2004-08-01,88.03999
2004-09-01,92.03104
2004-10-01,107.50052
2004-11-01,93.99050
2004-12-01,96.87821
2005-01-01,75.73044
2005-02-01,32.59745
2005-03-01,99.00125
2005-04-01,50.36789
2005-05-01,105.35017
2005-06-01,42.97226
2005-07-01,35.55521
2005-08-01,92.99914
2005-09-01,68.26114
2005-10-01,32.72948
2005-11-01,86.75798
2005-12-01,57.22021
2006-01-01,83.60844
2006-02-01,64.71510
2006-03-01,84.22510
2006-04-01,133.50470
2006-05-01,66.02269
2006-06-01,110.92435
2006-07-01,42.70708
2006-08-01,36.35946
2006-09-01,71.51866
2006-10-01,74.12514
2006-11-01,43.89590
2006-12-01,67.67839
2007-01-01,80.17084
2007-02-01,64.65912
2007-03-01,70.07433
2007-04-01,68.33134
2007-05-01,47.79153
2007-06-01,77.08946
2007-07-01,136.72058
2007-08-01,56.73624
2007-09-01,90.57121
2007-10-01,92.54260
2007-11-01,108.42847
2007-12-01,93.82693
2008-01-01,142.80524
2008-02-01,157.75427
2008-03-01,174.01172
2008-04-01,145.51450
2008-05-01,100.68358
2008-06-01,157.01193
2008-07-01,152.11792
2008-08-01,205.62845
2008-09-01,298.38702
2008-10-01,187.56824
2008-11-01,194.23703
2008-12-01,232.76639
2009-01-01,223.54688
2009-02-01,170.97813
2009-03-01,184.49576
2009-04-01,152.91333
2009-05-01,91.16470
2009-06-01,131.52881
2009-07-01,103.93192
2009-08-01,92.43109
2009-09-01,160.95164
2009-10-01,75.79626
2009-11-01,68.89027
2009-12-01,74.85823
2010-01-01,95.78208
2010-02-01,103.44437
2010-03-01,90.39570
2010-04-01,46.74543
2010-05-01,156.54861
2010-06-01,130.01350
2010-07-01,70.81567
2010-08-01,104.10299
2010-09-01,121.59743
2010-10-01,74.11596
2010-11-01,82.42307
2010-12-01,110.67324
2011-01-01,172.68040
2011-02-01,46.08258
2011-03-01,131.24837
2011-04-01,153.01114
2011-05-01,26.14408
2011-06-01,39.59001
2011-07-01,207.39719
2011-08-01,186.73148
2011-09-01,158.05563
2011-10-01,238.70961
2011-11-01,363.52310
2011-12-01,324.46265
2012-01-01,298.70264
2012-02-01,236.08952
2012-03-01,242.72800
2012-04-01,155.82893
2012-05-01,216.25195
2012-06-01,304.55273
2012-07-01,301.52292
2012-08-01,215.31752
2012-09-01,161.97899
2012-10-01,300.70209
2012-11-01,306.33585
2012-12-01,192.76840
2013-01-01,208.55452
2013-02-01,162.25603
2013-03-01,83.76907
2013-04-01,147.95317
2013-05-01,82.95887
2013-06-01,40.40321
2013-07-01,115.46748
2013-08-01,139.75954
2013-09-01,69.79080
2013-10-01,97.59776
2013-11-01,81.02541
2013-12-01,137.23245
2014-01-01,103.44437
2014-02-01,66.52955
2014-03-01,134.94261
2014-04-01,84.26826
2014-05-01,80.76277
2014-06-01,102.23165
2014-07-01,127.48029
2014-08-01,151.00191
2014-09-01,185.76190
2014-10-01,240.49532
2014-11-01,112.73898
2014-12-01,93.96096
2015-01-01,232.21510
2015-02-01,117.68367
2015-03-01,82.09329
2015-04-01,105.31835
2015-05-01,127.55281
2015-06-01,123.34314
2015-07-01,268.70920
2015-08-01,224.05859
2015-09-01,393.23410
2015-10-01,244.86795
2015-11-01,104.74908
2015-12-01,151.61449
2016-01-01,261.94208
2016-02-01,269.01920
2016-03-01,323.15585
2016-04-01,286.17734
2016-05-01,260.25748
2016-06-01,357.20880
2016-07-01,558.22217
2016-08-01,288.78021
2016-09-01,388.74960
2016-10-01,261.89890
2016-11-01,475.67093
2016-12-01,646.91101
2017-01-01,694.84943
2017-02-01,464.52283
2017-03-01,533.30438
2017-04-01,322.34427
2017-05-01,451.97852
2017-06-01,328.55359
2017-07-01,162.69328
2017-08-01,265.25812
2017-09-01,314.00122
2017-10-01,291.58359
2017-11-01,268.04385
2017-12-01,269.35477
2018-01-01,122.93740
2018-02-01,211.78018
2018-03-01,245.55171
2018-04-01,291.30698
2018-05-01,374.10382
2018-06-01,465.41684
2018-07-01,561.02618
2018-08-01,502.75372
2018-09-01,516.48663
2018-10-01,621.42639
2018-11-01,677.53760
2018-12-01,935.31030
2019-01-01,654.96265
2019-02-01,720.15790
2019-03-01,916.38562
